,Date,Module,Hand,Time,Stroke,Key,Speed
86,2020-12-02,deck-the-halls_solo,right,1606951058.4047008,144,67,47
87,2020-12-02,deck-the-halls_solo,right,1606951058.4127007,128,66,64
88,2020-12-02,deck-the-halls_solo,right,1606951058.7797008,128,67,64
89,2020-12-02,deck-the-halls_solo,right,1606951058.7907007,144,69,43
90,2020-12-02,deck-the-halls_solo,right,1606951059.5677006,144,71,50
91,2020-12-02,deck-the-halls_solo,right,1606951059.5807006,128,69,64
92,2020-12-02,deck-the-halls_solo,right,1606951059.8437006,144,73,49
93,2020-12-02,deck-the-halls_solo,right,1606951059.8557007,128,71,64
94,2020-12-02,deck-the-halls_solo,right,1606951060.1347008,128,73,64
95,2020-12-02,deck-the-halls_solo,right,1606951060.1557007,144,74,50
96,2020-12-02,deck-the-halls_solo,right,1606951060.9527006,128,74,64
97,2020-12-02,deck-the-halls_solo,right,1606951060.9587007,144,73,43
98,2020-12-02,deck-the-halls_solo,right,1606951061.6957006,128,73,64
99,2020-12-02,deck-the-halls_solo,right,1606951061.7127006,144,71,44
100,2020-12-02,deck-the-halls_solo,right,1606951064.2587006,128,71,64
101,2020-12-02,deck-the-halls_solo,right,1606951064.2897005,144,69,48
102,2020-12-02,deck-the-halls_solo,right,1606951065.6637006,128,69,64
103,2020-12-02,deck-the-halls_solo,right,1606951066.2747006,144,69,46
104,2020-12-02,deck-the-halls_solo,right,1606951067.1807005,128,69,64
105,2020-12-02,deck-the-halls_solo,right,1606951067.2067006,144,67,24
106,2020-12-02,deck-the-halls_solo,right,1606951067.4887006,144,66,47
107,2020-12-02,deck-the-halls_solo,right,1606951067.5057006,128,67,64
108,2020-12-02,deck-the-halls_solo,right,1606951068.0837007,128,66,64
109,2020-12-02,deck-the-halls_solo,right,1606951068.0867007,144,64,41
110,2020-12-02,deck-the-halls_solo,right,1606951068.7437007,128,64,64
111,2020-12-02,deck-the-halls_solo,right,1606951068.7997007,144,62,36
112,2020-12-02,deck-the-halls_solo,right,1606951069.4207008,144,64,54
113,2020-12-02,deck-the-halls_solo,right,1606951069.4317007,128,62,64
114,2020-12-02,deck-the-halls_solo,right,1606951069.8437006,144,64,11
115,2020-12-02,deck-the-halls_solo,right,1606951070.3187006,128,64,64
116,2020-12-02,deck-the-halls_solo,right,1606951070.3187006,128,64,64
117,2020-12-02,deck-the-halls_solo,right,1606951070.3347006,144,66,38
118,2020-12-02,deck-the-halls_solo,right,1606951071.2407005,144,62,45
119,2020-12-02,deck-the-halls_solo,right,1606951071.2777004,128,66,64
120,2020-12-02,deck-the-halls_solo,right,1606951072.4587004,144,71,56
121,2020-12-02,deck-the-halls_solo,right,1606951072.5267005,128,62,64
122,2020-12-02,deck-the-halls_solo,right,1606951072.6747005,128,71,64
123,2020-12-02,deck-the-halls_solo,right,1606951072.7627006,144,71,65
124,2020-12-02,deck-the-halls_solo,right,1606951072.8977005,128,71,64
125,2020-12-02,deck-the-halls_solo,right,1606951073.0557005,144,71,50
126,2020-12-02,deck-the-halls_solo,right,1606951073.2067006,128,71,64
127,2020-12-02,deck-the-halls_solo,right,1606951073.3107007,144,71,44
128,2020-12-02,deck-the-halls_solo,right,1606951073.6687007,128,71,64
129,2020-12-02,deck-the-halls_solo,right,1606951073.6867006,144,69,53
130,2020-12-02,deck-the-halls_solo,right,1606951074.6257005,144,67,48
131,2020-12-02,deck-the-halls_solo,right,1606951074.6477005,128,69,64
132,2020-12-02,deck-the-halls_solo,right,1606951074.9557006,144,66,45
133,2020-12-02,deck-the-halls_solo,right,1606951074.9777007,128,67,64
134,2020-12-02,deck-the-halls_solo,right,1606951075.6847007,144,64,55
135,2020-12-02,deck-the-halls_solo,right,1606951075.6927006,128,66,64
