,Date,Module,Hand,Time,Stroke,Key,Speed
84,2020-11-30,deck-the-halls_withemily,right,1606781443.7508106,144,64,80
85,2020-11-30,deck-the-halls_withemily,right,1606781443.7868106,128,67,64
86,2020-11-30,deck-the-halls_withemily,right,1606781444.5158105,144,66,66
87,2020-11-30,deck-the-halls_withemily,right,1606781444.5558105,128,64,64
88,2020-11-30,deck-the-halls_withemily,right,1606781445.0538104,144,67,69
89,2020-11-30,deck-the-halls_withemily,right,1606781445.0788105,128,66,64
90,2020-11-30,deck-the-halls_withemily,right,1606781446.0548105,144,64,66
91,2020-11-30,deck-the-halls_withemily,right,1606781446.1068106,128,67,64
92,2020-11-30,deck-the-halls_withemily,right,1606781446.3858106,144,66,39
93,2020-11-30,deck-the-halls_withemily,right,1606781446.4328105,128,64,64
94,2020-11-30,deck-the-halls_withemily,right,1606781447.3998106,144,64,61
95,2020-11-30,deck-the-halls_withemily,right,1606781447.4118106,128,66,64
96,2020-11-30,deck-the-halls_withemily,right,1606781447.6568105,128,64,64
97,2020-11-30,deck-the-halls_withemily,right,1606781447.9698105,144,66,56
98,2020-11-30,deck-the-halls_withemily,right,1606781448.1748104,128,66,64
99,2020-11-30,deck-the-halls_withemily,right,1606781448.3228104,144,67,53
100,2020-11-30,deck-the-halls_withemily,right,1606781448.5478103,144,69,71
101,2020-11-30,deck-the-halls_withemily,right,1606781448.5708103,128,67,64
102,2020-11-30,deck-the-halls_withemily,right,1606781449.3798103,144,71,81
103,2020-11-30,deck-the-halls_withemily,right,1606781449.4128103,128,69,64
104,2020-11-30,deck-the-halls_withemily,right,1606781449.8828104,128,71,64
105,2020-11-30,deck-the-halls_withemily,right,1606781450.1288104,144,73,64
106,2020-11-30,deck-the-halls_withemily,right,1606781450.3188105,128,73,64
107,2020-11-30,deck-the-halls_withemily,right,1606781450.3768106,144,74,78
108,2020-11-30,deck-the-halls_withemily,right,1606781450.7188106,128,74,64
109,2020-11-30,deck-the-halls_withemily,right,1606781451.0828104,144,73,72
110,2020-11-30,deck-the-halls_withemily,right,1606781451.6798103,144,71,63
111,2020-11-30,deck-the-halls_withemily,right,1606781451.6798103,128,73,64
112,2020-11-30,deck-the-halls_withemily,right,1606781452.6198103,144,69,72
113,2020-11-30,deck-the-halls_withemily,right,1606781452.6718104,128,71,64
114,2020-11-30,deck-the-halls_withemily,right,1606781454.1748104,128,69,64
115,2020-11-30,deck-the-halls_withemily,right,1606781454.5748105,144,69,31
116,2020-11-30,deck-the-halls_withemily,right,1606781455.5538106,144,67,75
117,2020-11-30,deck-the-halls_withemily,right,1606781455.6258106,128,69,64
118,2020-11-30,deck-the-halls_withemily,right,1606781455.8748105,144,66,63
119,2020-11-30,deck-the-halls_withemily,right,1606781455.9528105,128,67,64
120,2020-11-30,deck-the-halls_withemily,right,1606781456.5378106,144,64,56
121,2020-11-30,deck-the-halls_withemily,right,1606781456.5908105,128,66,64
122,2020-11-30,deck-the-halls_withemily,right,1606781457.0748105,144,62,64
123,2020-11-30,deck-the-halls_withemily,right,1606781457.1268106,128,64,64
124,2020-11-30,deck-the-halls_withemily,right,1606781457.6958106,144,64,74
125,2020-11-30,deck-the-halls_withemily,right,1606781457.7698104,128,62,64
126,2020-11-30,deck-the-halls_withemily,right,1606781458.4088104,144,66,65
127,2020-11-30,deck-the-halls_withemily,right,1606781458.4438105,128,64,64
128,2020-11-30,deck-the-halls_withemily,right,1606781459.0578105,144,64,63
129,2020-11-30,deck-the-halls_withemily,right,1606781459.0878105,128,66,64
130,2020-11-30,deck-the-halls_withemily,right,1606781459.7558105,128,64,64
131,2020-11-30,deck-the-halls_withemily,right,1606781460.2678106,144,64,56
132,2020-11-30,deck-the-halls_withemily,right,1606781460.4588106,144,66,65
133,2020-11-30,deck-the-halls_withemily,right,1606781460.4778106,128,64,64
134,2020-11-30,deck-the-halls_withemily,right,1606781460.7458105,144,67,58
135,2020-11-30,deck-the-halls_withemily,right,1606781460.7458105,128,66,64
136,2020-11-30,deck-the-halls_withemily,right,1606781461.0198104,128,67,64
137,2020-11-30,deck-the-halls_withemily,right,1606781461.0528104,144,64,55
138,2020-11-30,deck-the-halls_withemily,right,1606781461.3078105,128,64,64
139,2020-11-30,deck-the-halls_withemily,right,1606781461.8148105,144,71,71
140,2020-11-30,deck-the-halls_withemily,right,1606781461.9998105,128,71,64
141,2020-11-30,deck-the-halls_withemily,right,1606781462.0678105,144,71,81
142,2020-11-30,deck-the-halls_withemily,right,1606781462.2428105,128,71,64
143,2020-11-30,deck-the-halls_withemily,right,1606781462.3298104,144,71,75
144,2020-11-30,deck-the-halls_withemily,right,1606781462.4888103,128,71,64
145,2020-11-30,deck-the-halls_withemily,right,1606781462.5598104,144,71,80
146,2020-11-30,deck-the-halls_withemily,right,1606781462.6908104,128,71,64
147,2020-11-30,deck-the-halls_withemily,right,1606781462.7638104,144,71,85
148,2020-11-30,deck-the-halls_withemily,right,1606781462.9248104,128,71,64
149,2020-11-30,deck-the-halls_withemily,right,1606781463.3278105,144,69,55
150,2020-11-30,deck-the-halls_withemily,right,1606781463.6128106,144,67,70
151,2020-11-30,deck-the-halls_withemily,right,1606781463.7078106,128,69,64
152,2020-11-30,deck-the-halls_withemily,right,1606781463.9888105,144,66,62
153,2020-11-30,deck-the-halls_withemily,right,1606781464.0558105,128,67,64
154,2020-11-30,deck-the-halls_withemily,right,1606781464.7898104,144,64,59
155,2020-11-30,deck-the-halls_withemily,right,1606781464.8058105,128,66,64
156,2020-11-30,deck-the-halls_withemily,right,1606781465.9658105,144,62,63
